SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explained The Work ,Cleaned Properly ,NPS,Service Advisor,PLANT
9,9,9,9,9,9,9,10,Not Mentioned,Jaffna Branch
10,10,10,10,10,10,10,10,Not Mentioned,Jaffna Branch
10,10,10,10,10,10,10,10,Not Mentioned,Jaffna Branch
9,9,9,9,9,9,9,10,Not Mentioned,Jaffna Branch
10,10,10,10,10,10,10,10,Not Mentioned,Jaffna Branch
9,9,9,9,9,10,10,9,Not Mentioned,Jaffna Branch
10,10,10,10,5,9,10,8,Not Mentioned,Jaffna Branch
10,10,10,10,10,10,10,10,Thuraisingam Prakash,Batticoloa Branch
8,8,8,5,8,9,9,8,Not Mentioned,Jaffna Branch
8,8,9,6,9,9,10,8,Not Mentioned,Jaffna Branch
8,8,6,6,5,8,9,9,Not Mentioned,Vavuniya Branch
7,7,8,9,9,9,9,10,Not Mentioned,Jaffna Branch
9,9,9,9,9,9,9,10,Thuraisingam Prakash,Batticoloa Branch
9,9,9,9,9,9,9,9,Thuraisingam Prakash,Batticoloa Branch
9,9,9,9,9,9,9,9,Thuraisingam Prakash,Batticoloa Branch
9,9,9,9,9,9,9,9,Thuraisingam Prakash,Batticoloa Branch
10,10,10,8,10,10,10,10,Not Mentioned,Anuradhapura Branch
8,8,9,10,9,10,10,10,Not Mentioned,Matara Branch
10,10,10,10,8,10,10,10,Not Mentioned,Mahiyangana Branch
10,10,10,10,10,10,10,10,Not Mentioned,Kurunegala Regional Centere
7,7,9,7,9,10,8,5,Not Mentioned,Matara Branch
8,8,9,8,8,9,9,9,Not Mentioned,Matara Branch
7,7,5,10,6,6,8,10,Not Mentioned,Rathmalana Branch
8,8,9,5,5,9,9,8,Deepal Kariyawasam,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Anuradhapura Branch
10,10,10,10,0,0,0,0,Not Mentioned,Siyambalape Service Complex
10,10,10,5,8,10,5,8,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,5,10,Thuraisingam Prakash,Batticoloa Branch
10,10,10,5,10,10,10,,Not Mentioned,Matara Branch
8,8,9,9,9,8,9,9,Not Mentioned,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,Samith Wicramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Mahiyangana Branch
10,10,10,10,10,10,10,10,Asiri Herath,Balagolla Branch
10,10,10,10,10,10,10,10,Samith Wicramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
8,10,9,10,10,8,10,10,Not Mentioned,Balagolla Branch
10,8,10,8,7,10,10,10,Not Mentioned,Matara Branch
10,10,10,10,10,10,10,10,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,10,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,9,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,10,Not Mentioned,Anuradhapura Branch
10,5,10,10,10,10,10,10,Not Mentioned,Anuradhapura Branch
7,7,7,7,7,7,7,7,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,10,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,9,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,9,Not Mentioned,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,Asiri Herath,Balagolla Branch
7,7,7,10,7,8,8,8,Not Mentioned,Embilipitiya Branch
7,7,9,9,8,10,10,9,Not Mentioned,Kurunegala Regional Centere
10,10,10,8,9,9,10,10,Not Mentioned,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,Not Mentioned,Kurunegala Regional Centere
8,8,8,9,4,7,9,9,Not Mentioned,Kurunegala Regional Centere
5,5,5,8,5,7,0,0,Not Mentioned,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,Not Mentioned,Kuruwita Branch
8,8,10,5,9,9,8,8,Not Mentioned,Kuruwita Branch
